Quiz,Operators,Amount of Ans
00011,"＋, －",80
00022,"＋, －",80
00033,"＋, －",80
00044,"＋, －",80
00055,"＋, －",80
00066,"＋, －",80
00077,"＋, －",80
00088,"＋, －",80
00099,"＋, －",80
00112,"＋, －",120
00123,"＋, －",240
00134,"＋, －",240
00145,"＋, －",240
00156,"＋, －",240
00167,"＋, －",240
00178,"＋, －",240
00189,"＋, －",240
00224,"＋, －",120
00235,"＋, －",240
00246,"＋, －",240
00257,"＋, －",240
00268,"＋, －",240
00279,"＋, －",240
00336,"＋, －",120
00347,"＋, －",240
00358,"＋, －",240
00369,"＋, －",240
00448,"＋, －",120
00459,"＋, －",240
01111,"＋, －",30
01113,"＋, －",40
01122,"＋, －",120
01124,"＋, －",120
01133,"＋, －",120
01135,"＋, －",120
01144,"＋, －",120
01146,"＋, －",120
01155,"＋, －",120
01157,"＋, －",120
01166,"＋, －",120
01168,"＋, －",120
01177,"＋, －",120
01179,"＋, －",120
01188,"＋, －",120
01199,"＋, －",120
01223,"＋, －",120
01225,"＋, －",120
01234,"＋, －",240
01236,"＋, －",240
01245,"＋, －",240
01247,"＋, －",240
01256,"＋, －",240
01258,"＋, －",240
01267,"＋, －",240
01269,"＋, －",240
01278,"＋, －",240
01289,"＋, －",240
01335,"＋, －",120
01337,"＋, －",120
01346,"＋, －",240
01348,"＋, －",240
01357,"＋, －",240
01359,"＋, －",240
01368,"＋, －",240
01379,"＋, －",240
01447,"＋, －",120
01449,"＋, －",120
01458,"＋, －",240
01469,"＋, －",240
01559,"＋, －",120
02222,"＋, －",30
02226,"＋, －",40
02233,"＋, －",120
02237,"＋, －",120
02244,"＋, －",120
02248,"＋, －",120
02255,"＋, －",120
02259,"＋, －",120
02266,"＋, －",120
02277,"＋, －",120
02288,"＋, －",120
02299,"＋, －",120
02334,"＋, －",120
02338,"＋, －",120
02345,"＋, －",240
02349,"＋, －",240
02356,"＋, －",240
02367,"＋, －",240
02378,"＋, －",240
02389,"＋, －",240
02446,"＋, －",120
02457,"＋, －",240
02468,"＋, －",240
02479,"＋, －",240
02558,"＋, －",120
02569,"＋, －",240
03333,"＋, －",30
03339,"＋, －",40
03344,"＋, －",120
03355,"＋, －",120
03366,"＋, －",120
03377,"＋, －",120
03388,"＋, －",120
03399,"＋, －",120
03445,"＋, －",120
03456,"＋, －",240
03467,"＋, －",240
03478,"＋, －",240
03489,"＋, －",240
03557,"＋, －",120
03568,"＋, －",240
03579,"＋, －",240
03669,"＋, －",120
04444,"＋, －",30
04455,"＋, －",120
04466,"＋, －",120
04477,"＋, －",120
04488,"＋, －",120
04499,"＋, －",120
04556,"＋, －",120
04567,"＋, －",240
04578,"＋, －",240
04589,"＋, －",240
04668,"＋, －",120
04679,"＋, －",240
05555,"＋, －",30
05566,"＋, －",120
05577,"＋, －",120
05588,"＋, －",120
05599,"＋, －",120
05667,"＋, －",120
05678,"＋, －",240
05689,"＋, －",240
05779,"＋, －",120
06666,"＋, －",30
06677,"＋, －",120
06688,"＋, －",120
06699,"＋, －",120
06778,"＋, －",120
06789,"＋, －",240
07777,"＋, －",30
07788,"＋, －",120
07799,"＋, －",120
07889,"＋, －",120
08888,"＋, －",30
08899,"＋, －",120
09999,"＋, －",30
11112,"＋, －",20
11114,"＋, －",5
11123,"＋, －",60
11125,"＋, －",20
11134,"＋, －",60
11136,"＋, －",20
11145,"＋, －",60
11147,"＋, －",20
11156,"＋, －",60
11158,"＋, －",20
11167,"＋, －",60
11169,"＋, －",20
11178,"＋, －",60
11189,"＋, －",60
11222,"＋, －",30
11224,"＋, －",60
11226,"＋, －",30
11233,"＋, －",60
11235,"＋, －",120
11237,"＋, －",60
11244,"＋, －",60
11246,"＋, －",120
11248,"＋, －",60
11255,"＋, －",60
11257,"＋, －",120
11259,"＋, －",60
11266,"＋, －",60
11268,"＋, －",120
11277,"＋, －",60
11279,"＋, －",120
11288,"＋, －",60
11299,"＋, －",60
11334,"＋, －",30
11336,"＋, －",60
11338,"＋, －",30
11345,"＋, －",60
11347,"＋, －",120
11349,"＋, －",60
11356,"＋, －",60
11358,"＋, －",120
11367,"＋, －",60
11369,"＋, －",120
11378,"＋, －",60
11389,"＋, －",60
11446,"＋, －",30
11448,"＋, －",60
11457,"＋, －",60
11459,"＋, －",120
11468,"＋, －",60
11479,"＋, －",60
11558,"＋, －",30
11569,"＋, －",60
12223,"＋, －",60
12225,"＋, －",20
12227,"＋, －",20
12234,"＋, －",120
12236,"＋, －",60
12238,"＋, －",60
12245,"＋, －",120
12247,"＋, －",60
12249,"＋, －",60
12256,"＋, －",120
12258,"＋, －",60
12267,"＋, －",120
12269,"＋, －",60
12278,"＋, －",120
12289,"＋, －",120
12333,"＋, －",60
12335,"＋, －",60
12337,"＋, －",60
12339,"＋, －",60
12344,"＋, －",120
12346,"＋, －",120
12348,"＋, －",120
12355,"＋, －",120
12357,"＋, －",120
12359,"＋, －",120
12366,"＋, －",120
12368,"＋, －",120
12377,"＋, －",120
12379,"＋, －",120
12388,"＋, －",120
12399,"＋, －",120
12445,"＋, －",60
12447,"＋, －",60
12449,"＋, －",60
12456,"＋, －",120
12458,"＋, －",120
12467,"＋, －",120
12469,"＋, －",120
12478,"＋, －",120
12489,"＋, －",120
12557,"＋, －",60
12559,"＋, －",60
12568,"＋, －",120
12579,"＋, －",120
12669,"＋, －",60
13334,"＋, －",60
13338,"＋, －",20
13345,"＋, －",120
13349,"＋, －",60
13356,"＋, －",120
13367,"＋, －",120
13378,"＋, －",120
13389,"＋, －",120
13444,"＋, －",60
13446,"＋, －",60
13455,"＋, －",120
13457,"＋, －",120
13466,"＋, －",120
13468,"＋, －",120
13477,"＋, －",120
13479,"＋, －",120
13488,"＋, －",120
13499,"＋, －",120
13556,"＋, －",60
13558,"＋, －",60
13567,"＋, －",120
13569,"＋, －",120
13578,"＋, －",120
13589,"＋, －",120
13668,"＋, －",60
13679,"＋, －",120
14445,"＋, －",60
14456,"＋, －",120
